,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RELT,114.961577364,0.475249985088697,0.0963544158193609,4.9323114155937,8.12622222229184e-07,0.0006873349960843
CHD1,1968.66726702497,0.200866149313417,0.0412141985565347,4.87371236972819,1.0952041415775e-06,0.0007497167179733
DOCK2,655.309007613822,0.342297057798762,0.0718857637262432,4.7616807564611,1.91987226647501e-06,0.0008365407066558
REL,865.463051072646,0.378998515969166,0.0809630864145047,4.68112732299776,2.85301667867399e-06,0.0010795664953329
PIK3AP1,533.059919805231,0.398093111668976,0.0854064649253309,4.6611589885733,3.14433705715697e-06,0.0011077267777437
LCP1,2721.97021789996,0.314758887889737,0.0711119415407964,4.42624517162371,9.58875367235721e-06,0.0018576671385953
DUSP2,120.946117547523,0.762554028758786,0.17418032965952,4.37795720245445,1.19796866522635e-05,0.0019574535724192
CD72,68.139658433054,0.800002703453005,0.183357434886583,4.36307752640548,1.28245470711177e-05,0.0020043930688652
IL16,556.184222399887,0.361651554485514,0.0836508540811783,4.32334563057243,1.53680682763967e-05,0.0021247832090991
OTULIN,573.255538971873,0.207195888977762,0.0483112550690074,4.28877057078739,1.79664839772194e-05,0.0022515134211818
STK10,636.880039675613,0.222393912429568,0.052047072563471,4.27293796703666,1.92914139202531e-05,0.0023399859364421
RASSF5,404.471956325621,0.344007223391996,0.0816167249157187,4.21491089904961,2.49876821053743e-05,0.0028291171731746
CYTH1,1609.89452174902,0.204382842349486,0.049238907291091,4.1508403332595,3.31256800918978e-05,0.0032624257126123
PTPN6,697.248529464091,0.193271450309944,0.0467354718278334,4.13543380971797,3.5428472385544e-05,0.0034019672885859
PDE4B,447.779447946659,0.561652658745188,0.137181472753108,4.09423114851682,4.23571585373028e-05,0.0037829415068812
DOK3,161.985399805064,0.386424901708765,0.0949094318969298,4.07151211407962,4.67089326888325e-05,0.0040217230127708
IL21R,70.2676620603363,0.620456020781909,0.153138757191252,4.05159367988755,5.0869950675273e-05,0.0041325368404505
TNFRSF1B,568.799837496484,0.222038751988863,0.054787819568438,4.05270284048271,5.06292941421612e-05,0.0041325368404505
IL10RA,573.581789374915,0.346683915649854,0.0855581362664533,4.05202743746285,5.07757087224701e-05,0.0041325368404505
CR1,201.770241387124,0.598038773783289,0.147478785158624,4.05508340158928,5.01164180140745e-05,0.0041325368404505
TYROBP,527.638542262967,-0.252693213204634,0.062449118120427,-4.04638561456288,5.20145231590379e-05,0.0041811369240386
ITGAL,355.66111799519,0.423722235157826,0.105310146930448,4.02356513126579,5.73237215956562e-05,0.004455447528778
SNX20,110.105527421759,0.463754239869957,0.117748883533219,3.93850222570581,8.19918337572257e-05,0.0053589117163415
MKKS,749.719081662102,-0.165133954387153,0.0423537212110981,-3.89892433687463,9.66209583705655e-05,0.0058607666206478
CYRIB,1009.52826263758,0.132269481106936,0.0340241759168246,3.8875146140286,0.0001012758919761,0.0060004415914613
FYB1,805.930870573753,0.288306612859969,0.0744640736232947,3.87175450967778,0.0001080547515382,0.0062398364352152
SLC2A3,488.607443795477,0.672844763791639,0.175869586964546,3.82581647802062,0.000130339366774,0.0070456757700909
FLI1,368.977297540868,0.201675207815087,0.0528776408894813,3.81399783391632,0.000136736666488,0.0073363303262398
SOWAHB,532.227352281147,-0.229245245002136,0.0612898640855003,-3.74034513573623,0.0001837677435598,0.0087701605154172
SAMSN1,364.244187561909,0.2803252319614,0.0755878118865073,3.70860360903553,0.0002084053830789,0.0094234622745033
CCDC88A,593.610423588249,0.246978343711209,0.0668885238207406,3.69238741720634,0.0002221586958076,0.0097988340092569
IER3,2555.57378241252,0.614178488485283,0.166922714797665,3.6794182818663,0.0002337665801404,0.010155074488941
FAM20A,45.9492802119583,0.44123420075312,0.119975474261034,3.67770332620743,0.0002353434596385,0.0101927819462123
ZNF267,456.519749525917,0.194558239916263,0.0536751902049013,3.62473312481148,0.0002892599954428,0.0117243520524402
LEO1,672.751032604882,-0.160072968302466,0.0442131924165372,-3.62047976075559,0.0002940572536963,0.0118771046373607
PPP1R18,386.858662416601,0.261959370108375,0.0729776650531422,3.58958278423428,0.0003312076379201,0.0123680018003409
TXNDC12,1121.87612026658,-0.119772716671402,0.0342489293768044,-3.49712294225817,0.0004703050357657,0.0149041843247606
TMED9,2079.71623518283,-0.142852783566546,0.0413329547609388,-3.45614738633559,0.0005479556160659,0.0163274708818613
PRKD3,823.609564479351,0.146355043875133,0.042649956364315,3.43154029572671,0.0006001639603234,0.017339496820995
IGHG1,7808.77601303266,0.71023200720244,0.207777811262579,3.41822836079876,0.0006303019898749,0.0178480603775699
ENSG00000230551,891.92404050814,0.274273447156425,0.0802658524765182,3.41706265733195,0.0006330070898126,0.017882139379993
PARVG,247.592981690838,0.293117711982853,0.0860994459812306,3.40440880475296,0.0006630743678596,0.0182490169964155
CSF2RB,445.484742049568,0.25495654290884,0.0757775523428589,3.36453916794881,0.0007667160083738,0.0200251670137276
SPCS2,1462.05058781778,-0.159597184069771,0.0484354645695095,-3.29504807042233,0.0009840484492628,0.0231203147907695
GPSM3,243.3672357413,0.207437099582815,0.0632072607034099,3.281855553845,0.0010312641828351,0.023500075570502
GJD3,61.2449797597406,-0.393703934043847,0.120602213826534,-3.26448347465764,0.0010966385998315,0.0244095455525967
S100A11,1658.25718489075,-0.272955210794898,0.0837314321741699,-3.2598894310935,0.0011145565455658,0.0246936957915122
SLIRP,616.516276700335,-0.163561691018884,0.0502550148259395,-3.25463422079144,0.0011353849511053,0.0250778805098992
PTPN1,878.905424459904,0.140670963426588,0.0434111284826169,3.24043553677525,0.0011934725389471,0.0259306610033052
SH3BGRL3,2945.6430063425,-0.187321290220669,0.0579253257571801,-3.23384094559796,0.0012213745537318,0.0261480420898425
