"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000149781.13",748.207654282967,0.397320683275732,0.0719298120533225,5.52372753290656,3.31882008282847e-08,0.000789680050508206
"ENSG00000279281.1",634.668479118765,0.261129746405581,0.0495667582643438,5.26824338628226,1.37735412736191e-07,0.00163863820532246
"ENSG00000173915.16",451.226568638139,-0.338537741469807,0.0660205047812148,-5.12776663237711,2.93199565323969e-07,0.00232546348577284
"ENSG00000169282.18",218.887683037301,-0.833037241580919,0.167111099656029,-4.98493064371901,6.19840430981977e-07,0.00361967819116722
"ENSG00000213949.10",5391.57977160649,-0.312813602484731,0.0637150458305697,-4.90957196070393,9.12754019795046e-07,0.00361967819116722
"ENSG00000236723.2",177.971933006198,-0.416035219301436,0.0843315825007029,-4.93332636438986,8.08409086201214e-07,0.00361967819116722
"ENSG00000197774.14",2223.12476095106,0.309819867385777,0.0640505675990801,4.8371135338733,1.31738188634213e-06,0.00447796922908922
"ENSG00000158717.11",1013.85345069271,0.444680085144707,0.0924645154160633,4.80919716221706,1.5153768403257e-06,0.00450710956733871
"ENSG00000151702.17",1527.03818712111,0.263547116519437,0.0552900726073057,4.76662634160862,1.87336274349136e-06,0.00495275479095927
"ENSG00000101307.16",404.425451033612,0.520884772258682,0.113271035639722,4.59856987549267,4.25401037369834e-06,0.00613486723999203
"ENSG00000135439.12",585.210924334651,0.353289201700417,0.0764998303106556,4.61816974319756,3.8713951798626e-06,0.00613486723999203
"ENSG00000136143.16",746.561033750965,-0.254038469222387,0.0555353517220539,-4.57435599748807,4.77687020169243e-06,0.00613486723999203
"ENSG00000137393.10",831.21650432665,0.655261739944573,0.142444262285209,4.60012730195182,4.22232826030933e-06,0.00613486723999203
"ENSG00000154319.16",119.903245525814,0.636784397714818,0.139368344336334,4.56907485517719,4.8988180869063e-06,0.00613486723999203
"ENSG00000160410.15",1078.73145521748,0.25441287798091,0.0541531996627991,4.69802116153961,2.62694219762155e-06,0.00613486723999203
"ENSG00000239511.2",146.277132868971,0.639278354746811,0.139429236689101,4.58496632361454,4.5405961397486e-06,0.00613486723999203
"ENSG00000254221.3",111.482592355836,-0.59671082824483,0.129823164667676,-4.59633555977705,4.299860257395e-06,0.00613486723999203
"ENSG00000255398.3",95.3536632817056,1.9997000209922,0.428965798000122,4.66167706216904,3.13643065790545e-06,0.00613486723999203
"ENSG00000287335.1",40801.5467646994,0.766665413100632,0.167136153775294,4.58707105424583,4.49507728237247e-06,0.00613486723999203
"ENSG00000107758.16",1426.17368315473,-0.195607682376032,0.0434848307610795,-4.49829696821789,6.84999700576478e-06,0.00754355660904075
"ENSG00000143889.16",1036.57708394876,-0.241507063505235,0.0536199379886968,-4.50405339066496,6.6669445091071e-06,0.00754355660904075
"ENSG00000156218.13",2369.15146772594,-0.277940703333228,0.0618407850608327,-4.49445625665679,6.97479387235843e-06,0.00754355660904075
"ENSG00000129667.13",2214.77702934817,0.31228246196168,0.0700919601210239,4.45532499622609,8.37662024835322e-06,0.00834002118968405
"ENSG00000163154.6",80.2914568382562,0.571011317313116,0.128189969249423,4.4544149644196,8.41222613063869e-06,0.00834002118968405
"ENSG00000171310.11",998.932984116607,0.385801243070574,0.0870747248498592,4.43069149785775,9.39313898761995e-06,0.00894001396285717
"ENSG00000141524.17",4698.92429155386,0.25508524424912,0.0581462973610363,4.38695593401709,1.1494806633824e-05,0.0105195165017388
"ENSG00000120899.18",4282.71334478657,0.324912899203459,0.0747219274498673,4.34829387158744,1.37200684299595e-05,0.0120909373415724
"ENSG00000196405.13",5398.59703671939,0.268779185230183,0.0619451444685748,4.33898713992889,1.43140897656308e-05,0.0121639089958364
"ENSG00000064547.14",454.038101115808,0.335300359368468,0.0777972639383224,4.30992482761725,1.63310049491445e-05,0.0129526643919982
"ENSG00000154556.18",2814.53864156923,-0.515342956492055,0.119433576146264,-4.31489178437512,1.59681105337709e-05,0.0129526643919982
"ENSG00000069424.16",2436.91482671073,0.313031042790789,0.0728796384663363,4.29517831561941,1.74552976853087e-05,0.0133977855846527
"ENSG00000108823.17",214.629626134574,-0.602487655217656,0.141089476671801,-4.27025225006078,1.95252007521612e-05,0.0145182070842789
"ENSG00000059804.16",3676.43891905529,0.500978488976898,0.117576017962259,4.26089008336467,2.0361436076131e-05,0.0146812124241049
"ENSG00000262246.6",2368.04456797636,0.193127525757076,0.0455486254640602,4.24002972185103,2.23490192734994e-05,0.0156403695468719
"ENSG00000141665.13",1467.09301711817,-0.210923313193944,0.0499206376916034,-4.22517265298119,2.38757655490448e-05,0.0158847974615625
"ENSG00000143641.10",2126.89643839666,0.22002019238565,0.0520919397733141,4.22368975590276,2.40334835931852e-05,0.0158847974615625
"ENSG00000196109.9",439.416622289997,-0.238350751422998,0.0565574117428721,-4.21431504869098,2.50537360977552e-05,0.0161115836948645
"ENSG00000172578.12",3667.64441706348,0.344695613696834,0.082204507124232,4.1931473803001,2.75110578222987e-05,0.0172262660479941
"ENSG00000289310.1",157.98387872423,0.392639370389606,0.0937947862561671,4.18615347464252,2.83721544621509e-05,0.0173099241864723
"ENSG00000134775.16",365.805063963683,-0.405492001957337,0.0973572127109477,-4.16499189599067,3.11363624467647e-05,0.0177643137677435
"ENSG00000186407.7",635.53062386799,0.584822128943315,0.140269130525779,4.1692860485496,3.0555529958507e-05,0.0177643137677435
